,task_id
1788,20-309444-470366
2728,20-309444-470373
2727,20-309444-470374
2271,20-309444-470375
2270,20-309444-470376
2269,20-309444-470377
3746,20-309445-470363
3745,20-309445-470364
3744,20-309445-470365
4457,20-309445-470369
4667,20-309445-470378
4666,20-309445-470379
4665,20-309445-470380
3743,20-309446-470363
3742,20-309446-470364
3741,20-309446-470365
2723,20-309446-470372
2721,20-309446-470374
4664,20-309446-470378
4663,20-309446-470379
4662,20-309446-470380
3740,20-309447-470363
3739,20-309447-470364
3738,20-309447-470365
2720,20-309447-470372
4583,20-309447-470381
4582,20-309447-470382
4581,20-309447-470383
3737,20-309448-470363
3736,20-309448-470364
3735,20-309448-470365
2717,20-309448-470372
2716,20-309448-470373
4580,20-309448-470381
4579,20-309448-470382
4578,20-309448-470383
3734,20-309449-470363
3628,20-309449-470364
2712,20-309449-470374
4575,20-309449-470383
3626,20-309450-470363
3995,20-309450-470364
1770,20-309450-470366
4441,20-309450-470370
4572,20-309450-470383
3993,20-309451-470363
3992,20-309451-470364
1767,20-309451-470366
2707,20-309451-470373
2706,20-309451-470374
4648,20-309451-470379
4647,20-309451-470380
4390,20-309451-470385
4389,20-309451-470386
2401,20-309451-470402
2400,20-309451-470403
2399,20-309451-470404
3990,20-309452-470363
2704,20-309452-470373
4387,20-309452-470385
4004,20-309452-470405
4003,20-309452-470406
4002,20-309452-470407
3987,20-309453-470363
4385,20-309453-470384
4384,20-309453-470385
4383,20-309453-470386
2048,20-309453-470399
2047,20-309453-470400
2393,20-309453-470404
3999,20-309453-470407
3984,20-309454-470363
3982,20-309454-470365
1756,20-309454-470368
2239,20-309454-470377
4560,20-309454-470383
1954,20-309454-470396
1953,20-309454-470397
1952,20-309454-470398
2045,20-309454-470399
2391,20-309454-470403
2390,20-309454-470404
3998,20-309454-470405
3997,20-309454-470406
3996,20-309454-470407
3981,20-309455-470363
3980,20-309455-470364
1754,20-309455-470367
4427,20-309455-470369
4379,20-309455-470384
4378,20-309455-470385
1704,20-309455-470393
1703,20-309455-470394
1702,20-309455-470395
1951,20-309455-470396
3978,20-309456-470363
3976,20-309456-470365
1752,20-309456-470366
1751,20-309456-470367
1750,20-309456-470368
4634,20-309456-470378
4633,20-309456-470379
2038,20-309456-470400
3975,20-309457-470363
4371,20-309457-470386
1943,20-309457-470398
2036,20-309457-470399
2383,20-309457-470402
3972,20-309458-470363
1745,20-309458-470367
4418,20-309458-470369
2324,20-309458-470389
2600,20-309458-470390
2598,20-309458-470392
1941,20-309458-470397
2032,20-309458-470400
3625,20-309459-470363
3624,20-309459-470364
1742,20-309459-470367
4367,20-309459-470384
4366,20-309459-470385
2322,20-309459-470388
2028,20-309459-470401
2377,20-309459-470402
2376,20-309459-470403
4211,20-309459-470405
3622,20-309460-470363
2641,20-309460-470373
2223,20-309460-470375
2222,20-309460-470376
4363,20-309460-470385
2319,20-309460-470388
2318,20-309460-470389
1935,20-309460-470397
2026,20-309460-470400
2373,20-309460-470403
3619,20-309461-470363
3617,20-309461-470365
4408,20-309461-470370
2638,20-309461-470373
2637,20-309461-470374
4332,20-309461-470383
2589,20-309461-470392
2019,20-309461-470394
1933,20-309461-470396
2022,20-309461-470401
3616,20-309462-470363
3615,20-309462-470364
1733,20-309462-470367
4357,20-309462-470385
2015,20-309462-470395
2368,20-309462-470402
2367,20-309462-470403
4202,20-309462-470405
4201,20-309462-470406
3613,20-309463-470363
3612,20-309463-470364
3611,20-309463-470365
4403,20-309463-470369
2631,20-309463-470374
2214,20-309463-470375
4613,20-309463-470378
2013,20-309463-470394
2364,20-309463-470403
4199,20-309463-470405
3610,20-309464-470363
3609,20-309464-470364
3608,20-309464-470365
1728,20-309464-470366
2628,20-309464-470374
4610,20-309464-470378
4609,20-309464-470379
2581,20-309464-470391
2011,20-309464-470393
2360,20-309464-470404
3607,20-309465-470363
3606,20-309465-470364
1725,20-309465-470366
4107,20-309465-470371
2626,20-309465-470373
2625,20-309465-470374
2206,20-309465-470377
3846,20-309465-470386
2138,20-309465-470388
2137,20-309465-470389
2007,20-309465-470394
3604,20-309466-470363
3603,20-309466-470364
1722,20-309466-470366
1721,20-309466-470367
1804,20-309466-470377
2529,20-309466-470388
2574,20-309466-470392
1917,20-309466-470397
1916,20-309466-470398
3601,20-309467-470363
3600,20-309467-470364
3599,20-309467-470365
1718,20-309467-470367
1717,20-309467-470368
4101,20-309467-470371
2621,20-309467-470372
2620,20-309467-470373
2619,20-309467-470374
1803,20-309467-470375
1802,20-309467-470376
1801,20-309467-470377
4599,20-309467-470380
3841,20-309467-470385
2526,20-309467-470388
2525,20-309467-470389
2572,20-309467-470391
2000,20-309467-470395
2203,20-309467-470398
4185,20-309467-470407
3598,20-309468-470363
3596,20-309468-470365
1715,20-309468-470367
1714,20-309468-470368
2616,20-309468-470374
2201,20-309468-470397
3595,20-309469-470363
1712,20-309469-470367
4097,20-309469-470369
4096,20-309469-470370
2613,20-309469-470374
1795,20-309469-470377
2521,20-309469-470387
2520,20-309469-470388
2565,20-309469-470392
3592,20-309470-470363
3590,20-309470-470365
1709,20-309470-470367
4592,20-309470-470378
4591,20-309470-470379
2518,20-309470-470387
2517,20-309470-470388
2563,20-309470-470391
3589,20-309471-470363
2607,20-309471-470374
1790,20-309471-470376
1789,20-309471-470377
4304,20-309471-470381
3830,20-309471-470384
3829,20-309471-470385
2514,20-309471-470388
3586,20-309472-470363
3585,20-309472-470364
2685,20-309472-470371
2132,20-309472-470372
2131,20-309472-470373
4088,20-309472-470375
4087,20-309472-470376
4586,20-309472-470378
4585,20-309472-470379
4301,20-309472-470381
2512,20-309472-470387
2511,20-309472-470388
1987,20-309472-470393
2336,20-309472-470404
3583,20-309473-470363
3582,20-309473-470364
4180,20-309473-470367
2129,20-309473-470372
4543,20-309473-470379
4298,20-309473-470381
4297,20-309473-470382
2509,20-309473-470387
2507,20-309473-470389
3580,20-309474-470363
3579,20-309474-470364
4178,20-309474-470366
4177,20-309474-470367
2680,20-309474-470370
2125,20-309474-470373
4080,20-309474-470377
3820,20-309474-470385
2506,20-309474-470387
2504,20-309474-470389
2691,20-309474-470398
3577,20-309475-470363
3576,20-309475-470364
3575,20-309475-470365
2677,20-309475-470370
2676,20-309475-470371
2123,20-309475-470372
4537,20-309475-470379
4292,20-309475-470381
3818,20-309475-470384
3817,20-309475-470385
2502,20-309475-470388
2688,20-309475-470398
3574,20-309476-470363
3573,20-309476-470364
3572,20-309476-470365
4172,20-309476-470366
2674,20-309476-470370
2673,20-309476-470371
2118,20-309476-470374
4287,20-309476-470383
3571,20-309477-470363
3570,20-309477-470364
3569,20-309477-470365
2670,20-309477-470371
4073,20-309477-470375
4072,20-309477-470376
4071,20-309477-470377
4532,20-309477-470378
4531,20-309477-470379
4530,20-309477-470380
4285,20-309477-470382
4284,20-309477-470383
3810,20-309477-470386
2497,20-309477-470387
3568,20-309478-470363
3567,20-309478-470364
3566,20-309478-470365
2669,20-309478-470369
2667,20-309478-470371
2114,20-309478-470372
4070,20-309478-470375
4068,20-309478-470377
4528,20-309478-470379
4527,20-309478-470380
4282,20-309478-470382
4281,20-309478-470383
4163,20-309479-470366
4161,20-309479-470368
4067,20-309479-470375
4525,20-309479-470379
4279,20-309479-470382
3804,20-309479-470386
2490,20-309479-470388
2663,20-309480-470369
4062,20-309480-470377
4523,20-309480-470378
4522,20-309480-470379
4521,20-309480-470380
4276,20-309480-470382
4155,20-309481-470368
2660,20-309481-470369
4060,20-309481-470376
4059,20-309481-470377
4520,20-309481-470378
3800,20-309481-470384
2485,20-309481-470387
1959,20-309481-470394
1958,20-309481-470395
4154,20-309482-470366
2656,20-309482-470370
2100,20-309482-470374
4057,20-309482-470376
4056,20-309482-470377
2481,20-309482-470388
1956,20-309482-470394
2653,20-309483-470370
2098,20-309483-470373
4055,20-309483-470375
3794,20-309483-470384
3793,20-309483-470385
4148,20-309484-470366
4147,20-309484-470367
4146,20-309484-470368
2651,20-309484-470369
2095,20-309484-470373
4050,20-309484-470377
4265,20-309484-470381
3790,20-309484-470385
4145,20-309485-470366
2198,20-309485-470369
2091,20-309485-470374
4048,20-309485-470376
4047,20-309485-470377
4507,20-309485-470379
4506,20-309485-470380
4261,20-309485-470382
2473,20-309485-470387
2421,20-309485-470391
2420,20-309485-470392
4142,20-309486-470366
2195,20-309486-470369
2193,20-309486-470371
4045,20-309486-470376
4504,20-309486-470379
4503,20-309486-470380
4257,20-309486-470383
3785,20-309486-470384
3783,20-309486-470386
2418,20-309486-470391
2417,20-309486-470392
4139,20-309487-470366
2190,20-309487-470371
4043,20-309487-470375
4041,20-309487-470377
4500,20-309487-470380
4256,20-309487-470381
4255,20-309487-470382
3782,20-309487-470384
2415,20-309487-470391
2414,20-309487-470392
4136,20-309488-470366
4039,20-309488-470376
4499,20-309488-470378
2464,20-309488-470387
2463,20-309488-470388
2412,20-309488-470391
2411,20-309488-470392
4133,20-309489-470366
4132,20-309489-470367
2184,20-309489-470371
2081,20-309489-470372
2080,20-309489-470373
2079,20-309489-470374
4494,20-309489-470380
2461,20-309489-470387
2409,20-309489-470391
2408,20-309489-470392
4130,20-309490-470366
4129,20-309490-470367
2182,20-309490-470370
2181,20-309490-470371
2077,20-309490-470373
4032,20-309490-470377
2458,20-309490-470387
2457,20-309490-470388
2406,20-309490-470391
2405,20-309490-470392
4127,20-309491-470366
4126,20-309491-470367
4125,20-309491-470368
2075,20-309491-470372
2074,20-309491-470373
4031,20-309491-470375
4029,20-309491-470377
4490,20-309491-470378
4244,20-309491-470381
2454,20-309491-470388
2404,20-309491-470390
2403,20-309491-470391
2402,20-309491-470392
4124,20-309492-470366
4123,20-309492-470367
4122,20-309492-470368
2177,20-309492-470369
4487,20-309492-470378
4485,20-309492-470380
4241,20-309492-470381
4239,20-309492-470383
3766,20-309492-470385
3765,20-309492-470386
2452,20-309492-470387
2451,20-309492-470388
2450,20-309492-470389
4121,20-309493-470366
4120,20-309493-470367
4119,20-309493-470368
2174,20-309493-470369
2068,20-309493-470373
2067,20-309493-470374
4484,20-309493-470378
4482,20-309493-470380
4237,20-309493-470382
3764,20-309493-470384
3763,20-309493-470385
3762,20-309493-470386
2447,20-309493-470389
4118,20-309494-470366
4117,20-309494-470367
4116,20-309494-470368
2171,20-309494-470369
4234,20-309494-470382
3761,20-309494-470384
3759,20-309494-470386
2445,20-309494-470388
2444,20-309494-470389
4400,20-309495-470366
4399,20-309495-470367
4398,20-309495-470368
2062,20-309495-470373
4019,20-309495-470375
4018,20-309495-470376
3757,20-309495-470385
2443,20-309495-470387
2442,20-309495-470388
2136,20-309495-470389
4397,20-309496-470366
4396,20-309496-470367
4395,20-309496-470368
2163,20-309496-470371
2060,20-309496-470372
2058,20-309496-470374
4016,20-309496-470375
4015,20-309496-470376
4014,20-309496-470377
4474,20-309496-470379
4228,20-309496-470382
4227,20-309496-470383
3753,20-309496-470386
2135,20-309496-470387
2134,20-309496-470388
2133,20-309496-470389
4394,20-309497-470366
4393,20-309497-470367
4392,20-309497-470368
2162,20-309497-470369
2056,20-309497-470373
4472,20-309497-470378
4471,20-309497-470379
4226,20-309497-470381
4225,20-309497-470382
4224,20-309497-470383
3751,20-309497-470385
3750,20-309497-470386
2159,20-309498-470369
2157,20-309498-470371
4222,20-309498-470382
3749,20-309498-470384
3748,20-309498-470385
3747,20-309498-470386
2156,20-309499-470369
2155,20-309499-470370
2154,20-309499-470371
2051,20-309499-470372
2049,20-309499-470374
4007,20-309499-470375
4466,20-309499-470378
4463,20-309500-470378
4462,20-309500-470379
4461,20-309500-470380
4547,20-309500-470381
4546,20-309500-470382
4545,20-309500-470383
